version,bodies,threads,runtime
gpu,64,0,0.0252252
gpu,512,0,0.137158
gpu,1024,0,0.245853
gpu,2048,0,0.451549
gpu,4096,0,0.902822
gpu,8192,0,3.40386
gpu,16384,0,14.977
gpu,32768,0,61.7804
